binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus camfieldii,NA,NA,mallee,NA,20,75,6,4,9000,30,110,9,6,9000,25,92.5,7.5,5,"Mallee or tree to 9 m. Bark grey-brown. Juvenile leaves broadly ovate to suborbicular, cordate or almost so, green, minutely hairy, discolorous. Adult leaves broadly lanceolate, sometimes falcate, mucronate or apiculate; lamina 7.5-11 cm long, 2-3 cm wide, shining, green, concolorous; lateral veins just visible, at 25°–40°; intramarginal vein up to 2 mm from margin; petiole channelled, 10-15 mm long. Umbels 7-11-flowered or sometimes more; peduncle thick, terete or flattened, 5-10 mm long; pedicels absent. Buds ovoid, angular; operculum hemispherical to conical, 3-4 mm long and wide; hypanthium hemispherical, 3-4 mm long and wide. Fruits hemispherical or subglobular, 4-6 mm long, 6-9 mm wide; disc broad, convex, ascending; valves 3 or 4, level or exserted. Camfield’s Stringybark. Fig. 56M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus capitellata,NA,NA,tree,NA,19,80,7,5,20000,30,170,12,8,20000,24.5,125,9.5,6.5,"Tree to 20 m. Bark grey-brown. Juvenile leaves broadly lanceolate, undulate, green, discolorous. Adult leaves lanceolate to broadly lanceolate, falcate, mucronate to acuminate, thick; lamina 8-17 cm long, 1.9-3 cm wide, shining, green, concolorous; lateral veins clearly visible, at 30°–45°; intramarginal vein up to 3 mm from margin; petiole flattened or channelled, 10-20 mm long. Umbels 7-11-flowered or sometimes more; peduncle flattened or angular, 7-15 mm long; pedicels absent. Buds fusiform; operculum conical, 4-5 mm long and wide; hypanthium obconical, 4-6 mm long, 4-5 mm wide. Fruits hemispherical or subglobular, 5-8 mm long, 7-12 mm wide; disc broad, level or convex, often red; valves 3 or 4, ±level. Brown. Stringybark. Fig. 56 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus agglomerata,NA,NA,tree,NA,14,75,5,4,40000,30,120,10,6,40000,22,97.5,7.5,5,"Tree to 40 m. Bark grey. Juvenile leaves ovate, green, slightly discolorous to concolorous. Adult leaves lanceolate to broadly lanceolate, acuminate; lamina 7.5-12 cm long, 1.4-3 cm wide, green or blue-green, concolorous; lateral veins clearly visible, at 25°–35°; intramarginal vein up to 3 mm from margin; petiole flattened or channelled, 13-18 mm long. Umbels 11-15-flowered or more; peduncle angular or flattened, 6-13 mm long; pedicels absent. Buds fusiform; operculum conical, 4-5 mm long, 3 mm wide; hypanthium obconical, 3 mm long and wide. Fruits hemispherical or subglobular, angular, 4-6 mm long, 5-10 mm wide; disc broad, flat or convex; valves 3 or 4, ±level. Blue-leaved. Stringybark. Fig. 56Q–R","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus tindaliae,NA,NA,tree,NA,18,100,7,5,27000,30,130,10,7,27000,24,115,8.5,6,"Tree to 27 m. Bark grey to grey-brown. Juvenile leaves ovate, undulate, crenulate, green, strongly discolorous. Adult leaves lanceolate, falcate, acuminate, thick; lamina 10-13 cm long, 1.8-3 cm wide, green, slightly shining, concolorous; lateral veins clearly visible, at 20°–35°; intramarginal vein up to 2 mm from margin; petiole channelled, 10-15 mm long. Umbels 7-11-flowered or more; peduncle angular or flattened, 6-13 mm long; pedicels absent. Buds ovoid to clavate; operculum conical, sometimes obtuse, 2-3 mm long and wide; hypanthium obconical, approx 2 mm long, 2-3 mm wide. Fruits hemispherical or subglobular, 5-7 mm long, 7-10 mm wide; disc broad, convex, red; valves 4 or 5, ±level. Ramornie. Stringybark, Tindale’s Stringybark. Fig. 57A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus eugenioides,NA,NA,tree,NA,25,100,5,4,30000,33,140,9,8,30000,29,120,7,6,"Tree to 30 m. Bark grey to brown. Juvenile leaves narrowly ovate, dark green, discolorous. Adult leaves lanceolate, acuminate; lamina 10-14 cm long, 2.5-3.3 cm wide, green, concolorous or slightly discolorous; lateral veins faint, at 20°–30°; intramarginal vein up to 3 mm from margin; petiole channelled, 10-17 mm long. Umbels 7-11-flowered, sometimes more; peduncle angular or flattened, 6-16 mm long; pedicels 1-5 mm long, sometimes absent. Buds fusiform; operculum conical, 2-4 mm long, 3-4 mm wide; hypanthium obconical, 2-3 mm long, 3-4 mm wide. Fruits hemispherical, globular or subglobular, 4-8 mm long, 5-9 mm wide; disc broad, just descending, level, convex, or slightly ascending; valves 3 or 4, included, level or exserted. Thin-leaved. Stringybark, White. Stringybark. Fig. 57C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus nigra,NA,NA,tree,NA,13,70,6,4,35000,30,130,11,8,35000,21.5,100,8.5,6,"Tree to 35 m. Bark grey-brown. Juvenile leaves ovate, undulate, green, the lower slightly hairy, the upper glabrous, discolorous. Adult leaves lanceolate to broadly lanceolate, acuminate, thin; lamina 7-13 cm long, 1.3-3 cm wide, green, slightly discolorous; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole flattened or channelled, 8-15 mm long. Umbels 7-11-flowered or more; peduncle flattened, 3-13 mm long; pedicels absent or to 2 mm long. Buds fusiform or clavate, minutely glandular; operculum conical or hemispherical and apiculate, 2-3 mm long, 3-4 mm wide; hypanthium obconical, 2-3 mm long, 3-4 mm wide. Fruits hemispherical or subglobular, 4-8 mm long, 6-11 mm wide; disc broad, convex, ascending; valves 3 or 4, level. Queensland. White. Stringybark. Fig. 57E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus caliginosa,NA,NA,tree,NA,20,100,4,6,27000,30,150,7,9,27000,25,125,5.5,7.5,"Tree to 27 m. Bark grey. Juvenile leaves ovate, undulate, green, discolorous. Adult leaves broadly lanceolate, falcate, acuminate, thick; lamina 10-15 cm long, 2-3 cm wide, green, slightly shining, concolorous; lateral veins just visible, at 15°–30°; intramarginal vein up to 2 mm from margin; petiole flattened or channelled, 7-12 mm long. Umbels 7-11-flowered or sometimes more; peduncle flattened, 7-15 mm long; pedicels 1-4 mm long. Buds fusiform or ovoid; operculum conical, 4-5 mm long and wide; hypanthium obconical, 2-3 mm long, 4-5 mm wide. Fruits hemispherical to subglobular, 6-9 mm long, 4-7 mm wide; disc broad, level or convex; valves 3 or 4, exserted. Broad-leaved. Stringybark. Fig. 57G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus globoidea,NA,NA,tree,NA,12,75,6,4,30000,25,125,8,7,30000,18.5,100,7,5.5,"Tree to 30 m. Bark grey. Juvenile leaves ovate, undulate, green, discolorous. Adult leaves lanceolate to broadly lanceolate, acuminate; lamina 7.5-12.5 cm long, 1.2-2.5 cm wide, green, shining, concolorous; lateral veins just visible, at 20°–40°; intramarginal vein up to 2 mm from margin; petiole channelled, 7-17 mm long. Umbels 7-11-flowered or sometimes more; peduncle angular or flattened, 4-12 mm long; pedicels absent or to 2 mm long. Buds fusiform; operculum conical, 3-4 mm long and wide; hypanthium obconical, 2-3 mm long, 3-4 mm wide. Fruits hemispherical or subglobular, 4-7 mm long, 6-8 mm wide; disc broad, level or convex; valves 4, ±level. White. Stringybark. Fig. 57 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cameronii,NA,NA,tree,NA,17,60,5,4,40000,25,100,7,5,40000,21,80,6,4.5,"Tree to 40 m. Bark grey or grey-brown. Juvenile leaves ovate, undulate, green, discolorous. Adult leaves lanceolate to broadly lanceolate, acuminate; lamina 6-10 cm long, 1.7-2.5 cm wide, green, shining, concolorous or slightly discolorous; lateral veins faint, at 25°–40°; intramarginal vein up to 2 mm from margin; petiole channelled, 8-12 mm long. Umbels 7–many-flowered; peduncle angular or flattened, 5-10 mm long; pedicels absent or very short. Buds fusiform; operculum conical, approx 3 mm long, 2 mm wide; hypanthium obconical, approx 2 mm long and wide. Fruits hemispherical or subglobular, sessile, crowded, 4-5 mm long, 5-7 mm wide; disc narrow, descending; valves 4, included. Diehard. Stringybark. Fig. 57K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus conglomerata,NA,NA,tree,NA,15,60,5,4,12000,25,100,8,6,12000,20,80,6.5,5,"Tree or shrub to 12 m. Bark grey to grey-brown. Juvenile leaves ovate-lanceolate, thick, green, almost concolorous. Adult leaves lanceolate, mucronate, thick; lamina 6-10 cm long, 1.5-2.5 cm wide, dull, green, concolorous; lateral veins faint, at 20°–35°; intramarginal vein up to 2 mm from margin; petiole channelled, 10-17 mm long. Umbels 7–many-flowered; peduncle angular or flattened, 5-10 mm long; pedicels absent. Buds fusiform; operculum conical, 2-3 mm long, 3-4 mm wide; hypanthium obconical, 3-4 mm long and wide. Fruits globular or subglobular, 4-6 mm long, 5-8 mm wide; disc broad, descending; valves 3 or 4, included. Swamp. Stringybark. Fig. 57M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus oblonga,NA,NA,tree,NA,10,70,5,5,25000,25,120,7,8,25000,17.5,95,6,6.5,"Tree to 25 m. Bark grey. Juvenile leaves ovate, undulate, green, discolorous. Adult leaves narrowly lanceolate to lanceolate, acuminate; lamina 7-12 cm long, 1-2.5 cm wide, green, shining, concolorous; lateral veins faint, at 40°–45°; intramarginal vein up to 1 mm from margin; petiole channelled, 10-15 mm long. Umbels 7-15-flowered; peduncle angular or flattened, 10-15 mm long; pedicels absent or very short. Buds fusiform; operculum conical, 2-4 mm long, 2-3 mm wide; hypanthium obconical, 2-3 mm long and wide. Fruits globular, rarely hemispherical, 5-8 mm long, 5-7 mm wide; disc narrow, level or convex; valves 4, ±level. Narrow-leaved. Stringybark. Fig. 57 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus ligustrina,NA,NA,tree,NA,7,40,NA,4,8000,15,75,NA,5,8000,11,57.5,NA,4.5,"Small tree, mallee or shrub to 8 m. Bark grey. Juvenile leaves ovate, undulate, green, discolorous. Adult leaves lanceolate to ovate, apiculate, thick; lamina 4-7.5 cm long, 0.7-1.5 cm wide, green, slightly discolorous; lateral veins very faint, at 15°–20°; intramarginal vein up to 1 mm from margin; petiole channelled, 5-10 mm long. Umbels 7-15-flowered; peduncle thick, flattened, 4-6 mm long; pedicels absent. Buds ovoid to clavate; operculum hemispherical or conical, approx 2 mm long, 3 mm wide; hypanthium obconical, approx 3 mm long and wide. Fruits hemispherical or subglobular, 4-5 mm long and wide; disc narrow, level, convex or descending; valves 3 or 4, included. Privet-leaved. Stringybark. Fig. 57Q–R","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus mckieana,NA,NA,tree,NA,10,60,NA,5,27000,20,90,NA,7,27000,15,75,NA,6,"Tree to 27 m. Bark grey. Juvenile leaves lanceolate to narrowly lanceolate, green, undulate, discolorous. Adult leaves lanceolate, acuminate, thick; lamina 6-9 cm long, 1-2 cm wide, green, shining, concolorous; lateral veins just visible, at 20°–35°; intramarginal vein up to 1 mm from margin; petiole channelled, 7-10 mm long. Umbels usually 7-11-flowered; peduncle angular or flattened, 7-12 mm long; pedicels 1-2 mm long. Buds ovoid to fusiform; operculum conical, approx 3 mm long and wide; hypanthium obconical, approx 3 mm long and wide. Fruits hemispherical or subglobular, 5-7 mm long and wide; disc moderately wide, level or convex; valves 3 or 4, ±level. McKie’s Stringybark. Fig. 57S–T","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus olsenii,NA,NA,tree,NA,15,80,14,15,12000,20,120,18,20,12000,17.5,100,16,17.5,"Tree to 12 m. Adult leaves lanceolate, often falcate; lamina 8-12 cm long, 1.5-2 cm wide; lateral veins faint or just visible, at approx 35°; intramarginal vein up to 1 mm from margin; petiole channelled, 8-14 mm long. Peduncle terete, angular or flattened, thick, often recurved, 5-8 mm long; pedicels absent or up to 2 mm long. Operculum conical, 4-5 mm long, 6-7 mm wide; hypanthium obconical, 2-ribbed, 5-6 mm long, 6-7 mm wide. Fruits 15-20 mm long, 14-18 mm wide. Woila. Gum. Fig. 58A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pilularis,NA,NA,tree,NA,16,90,7,6,70000,30,160,11,11,70000,23,125,9,8.5,"Tree to 70 m. Bark fibrous, grey-brown on most of trunk, then smooth, white or yellow-grey above, often with insect ‘scribbles’. Adult leaves lanceolate; lamina 9-16 cm long, 1.6-3 cm wide; lateral veins clearly visible, at 30°–45°; intramarginal vein up to 2 mm from margin; petiole flattened or channelled, 10-20 mm long. Umbels 7-15-flowered; peduncle flattened, 10-17 mm long; pedicels angular, 3-6 mm long. Operculum conical or rostrate, 4-5 mm long, 3-5 mm wide; hypanthium obconical, 3-4 mm long, 3-5 mm wide. Fruits hemispherical or subglobular, 6-11 mm long, 7-11 mm wide. Blackbutt. Fig. 57U–V","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pyrocarpa,NA,NA,tree,NA,16,120,7,8,30000,30,200,17,15,30000,23,160,12,11.5,"Tree to 30 m. Bark fibrous, grey or grey-brown on trunk, often extending to larger branches, smooth and white above. Adult leaves lanceolate, acuminate; lamina 12-20 cm long, 1.6-3 cm wide; lateral veins faint, at 20°–45°; intramarginal vein up to 2 mm from margin; petiole. Figure 57. Eucalyptus buds and fruits, all ×1. A–B, E. tindaliae (Halfway Ck, N.S.W., W. de. Beuzeville, FRI). C–D, E. eugenioides (C, I.Brooker 4939, FRI; D, I.Brooker 5713, FRI). E–F, E. nigra (E, I.Brooker 6581, FRI; F, I.Brooker 6586, FRI). G–H, E. caliginosa (I.Brooker 3906, FRI). I–J, E. globoidea (I, I.Brooker 4612, FRI; J, D.Boland G274/112, FRI). K–L, E. cameronii (Ingalba. State. Forest, N.S.W., R.Turner, NSW). M–N, E. conglomerata (J.Cole 29, FRI). O–P, E. oblonga (O, G.Chippendale 1016, FRI; P, I.Brooker 2832, FRI). Q–R, E. ligustrina (I.Brooker 3018, FRI). S–T, E. mckieana (Limestone Ck, Guyra district, N.S.W., W.Blakely, et al., NSW 58837, NSW). U–V, E. pilularis (U, G.Chippendale 1033, FRI; V, G.Chippendale 875, FRI). W–X, E. pyrocarpa (W, I.Brooker 4720, FRI; X, D.Kleinig 152, FRI). K, L, S, T drawn by C.Stahl. Others drawn by M.May. flattened, 15-20 mm long. Umbels 7-11-flowered; peduncle flattened, 10-25 mm long; pedicels quadrangular, 2-7 mm long. Operculum conical or rostrate, 6-7 mm long, approx 6 mm wide; hypanthium obconical, often glaucous, 6-8 mm long, approx 6 mm wide. Fruits pyriform or hemispherical, often glaucous, 8-15 mm long, 7-17 mm wide. Large-fruited. Blackbutt. Fig. 57W–X","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus regnans,NA,NA,tree,NA,16,90,4,5,75000,27,140,7,9,75000,21.5,115,5.5,7,"Tree usually to 75 m, recorded to 100 m. Bark rough up to 15 m on trunk, smooth, white or grey-green above, often shedding in strips. Adult leaves lanceolate or broadly lanceolate; lamina 9-14 cm long, 1.6-2.7 cm wide; petiole channelled, 12-22 mm long. Peduncle angular, 5-13 mm long; pedicels 2-4 mm long. Operculum conical, 2-3 mm long, 3-4 mm wide; hypanthium obconical, approx 3 mm long, 3-4 mm wide. Fruits 5-9 mm long, 4-7 mm wide. Mountain. Ash. Fig. 58C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus fastigata,NA,NA,tree,NA,15,80,4,5,45000,27,150,7,8,45000,21,115,5.5,6.5,"Tree to 45 m. Bark rough, furrowed, on trunk and larger branches, shedding in long strips above, leaving smooth white upper branches. Adult leaves lanceolate; lamina 8-15 cm long, 1.5-2.7 cm wide; petiole flattened or channelled, 10-15 mm long. Umbels 11-15-flowered; peduncle terete or angular, 4-14 mm long, pedicels 1-2 mm long. Operculum conical or rostrate, approx 2 mm long, 3 mm wide; hypanthium obconical, approx 2 mm long, 3 mm wide. Fruits 5-8 mm long, 4-7 mm wide. Brown. Barrel. Fig. 58E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus planchoniana,NA,NA,tree,NA,20,120,15,17,20000,33,160,26,26,20000,26.5,140,20.5,21.5,"Tree to 20 m. Bark red-brown yellow-brown to grey-brown. Adult leaves thick; lamina 12-16 cm long, 2-3.3 cm wide, blue-green; lateral veins just visible, at 45°–60°; intramarginal vein up to 1 mm from margin; petiole flattened, 15-25 mm long. Umbels 7-flowered; peduncle flattened, 13-30 mm long, up to 10 mm wide, pedicels angular, 2-10 mm long. Buds cylindrical, ribbed; operculum conical, 9-13 mm long, 7-9 mm wide; hypanthium cylindrical to conical, 11-15 mm long, 7-9 mm wide. Fruits ribbed, 17-26 mm long, 15-26 mm wide; valves 4. Seeds black. Needlebark. Stringybark. Fig. 58G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus sphaerocarpa,NA,NA,tree,NA,15,90,10,9,45000,25,140,13,11,45000,20,115,11.5,10,"Tree to 45 m. Bark grey to grey-brown. Adult leaves acuminate to uncinate; lamina 9-14 cm long, 1.5-2.5 cm wide, grey-green; lateral veins just visible, at 40°–45°; intramarginal vein up to 1 mm from margin; petiole flattened or channelled, 10-20 mm long. Umbels 7-11-flowered; peduncle flattened, 8-12 mm long; pedicels flattened or angular 1-4 mm long. Buds ovoid or fusiform; operculum conical or hemispherical, approx 4 mm long, 4-5 mm wide; hypanthium hemispherical, 3-4 mm long, 4-5 mm wide. Fruits smooth, 9-11 mm long, 10-13 mm wide; valves usually 3. Seeds brown. Blackdown. Stringybark. Fig. 58 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
